OBJECTID,Census_Tract,EHD_Rank,SHAPE_Length,SHAPE_Area
409,53011041206,8,10949.8724234673,6336667.21824481
410,53011041318,9,13550.4649797735,7096358.18224544
411,53011041321,6,14008.5348377605,8174744.35873011
412,53011041309,9,12635.8284076092,6125525.33353299
413,53011041310,6,15630.983610485,8390658.77791618
414,53011041700,10,7540.42656861679,2318222.94675931
415,53011041800,10,7141.89572777458,3068759.84397734
416,53011041900,8,8406.38391223851,2406581.55574021
417,53011042000,8,5670.35537728881,1428633.35870425
418,53011042100,7,6608.65270787205,2692907.18228808
419,53011042300,9,6419.09771729543,2461938.92043478
420,53011040302,1,59565.4774282704,134065533.364615
421,53011040910,2,17760.8349896017,14280158.1666815
422,53011040412,2,13505.1194714071,8077052.50458885
423,53011040414,5,23949.9981765097,26145628.9115254
424,53011040416,1,36028.5917736423,41453307.0946558
425,53011040413,6,16284.2039190358,13485293.2564209
426,53011040909,3,18489.0005513401,8651430.24237908
427,53011040511,2,79275.9964824696,176513728.663362
428,53011040710,4,34243.4205704849,57182458.8169836
429,53011040709,7,26113.926258999,23852908.317153
430,53011040712,4,10672.7765006425,5982429.2128281
431,53011041327,7,23354.8715684015,15111960.5042851
432,53011041333,9,7760.83548222032,2992528.46819161
433,53011040608,5,24374.5532893781,20849897.0335567
434,53011041328,5,17314.5415950354,11204755.9267514
435,53011041329,4,10687.7034798166,6523609.80524839
436,53011040808,7,13001.9325251477,7589762.7500279
437,53011040810,8,10260.3084723994,4590561.56453019
438,53011041011,6,13034.8668474944,7944411.31846775
439,53011041112,8,8860.74781888888,4617947.17791443
440,53003960100,2,255387.152629445,2809408531.96342
441,53003960200,3,160723.812085023,624642360.367089
442,53003960300,8,18420.0805651979,9752551.65222025
443,53003960500,6,9136.0347895301,3891060.49466345
444,53003960400,7,7896.92124097994,3336972.54481868
445,53003960600,3,17925.7064675451,10509884.9015177
446,53011041111,10,5879.6036512481,1578975.29239999
447,53011041331,8,7608.79376660161,2983976.89072485
448,53011041330,9,8355.02041844839,3760860.19249569
449,53011041326,7,10968.678169498,7130107.90317946
450,53011040707,7,10899.0411042341,3393364.52481382
451,53011040610,5,13094.7825639021,6222387.4607875
452,53011040609,5,13185.2504484462,6624014.41315566
453,53011042400,10,7329.24618088172,2997189.47841401
454,53011040809,8,10453.8332321717,4683294.57078588
455,53011041010,8,12198.6138920239,7324880.30625293
456,53011040409,2,19789.0079910428,16997297.9097837
457,53011040411,8,10531.6845418069,4203303.5055648
458,53011040711,7,8194.99434449482,4121057.51183228
459,53011040510,6,46638.6420989482,97161223.8279052
460,53011040301,4,37513.6251636594,60252804.4219128
461,53011040415,3,11669.6839030585,7395229.81708472
462,53011041332,7,8095.29551137328,3232791.31022523
463,53011042500,9,6853.97457213897,1916722.41593215
464,53011042600,10,22644.4359649878,18869124.043014
465,53011042700,10,6271.92851135225,2253561.9732565
466,53011042800,4,14414.0500027885,5018784.59453942
467,53011042900,9,7760.00678571122,3299993.58530886
468,53011043000,9,7418.41201394438,2689427.30952874
469,53011043100,8,13995.3741061437,6905417.40402108
470,53011040102,2,46775.5155325093,111023624.58576
471,53011040201,3,56013.7076168446,126753622.065313
472,53011040403,3,52189.1945972394,88212516.0355094
473,53011040603,4,58309.040468445,113831016.102175
474,53011041009,8,9181.7962428659,5002046.1917173
475,53011041108,7,11196.7768477192,6548820.81714011
476,53011041319,8,10961.663145028,6652736.52295692
477,53011041320,9,10457.1225273774,4549817.80733157
478,53021020800,4,282265.156866857,2522926731.95825
479,53021020700,9,364714.328427745,3036875069.26309
480,53011041322,9,9798.95648597685,4466281.1912526
481,53011041313,9,9393.76792475762,3729475.03064787
482,53011041312,6,9838.90721002737,5545432.79836035
483,53011040604,8,36099.5921148591,45232777.5526316
484,53011040408,4,33914.1754340235,41737694.8787101
485,53011040407,3,15077.8179133414,11788607.6959154
486,53011040505,2,46363.7236679449,81926937.6933437
487,53011040507,8,35874.4613532456,68710391.649176
488,53011040508,3,18779.8768341339,13309208.3354386
489,53011040509,7,13475.2445664704,5524026.26997569
490,53011040504,1,125724.652941133,400279591.744984
491,53011041400,6,29231.0034366229,26731844.5426915
492,53011041500,7,16745.928006321,9792561.55902213
493,53011040605,4,31772.0424424524,44423684.1837389
494,53011040202,1,65115.8969502031,145293979.293942
495,53011040203,4,69014.6711002224,126695416.722004
496,53021020501,3,22514.1522146841,24071716.2813413
497,53021020502,6,22420.7376953253,26741598.6528819
498,53021020100,9,47373.11262999,88958169.4161154
499,53021020601,6,171834.820722896,1141524079.83886
500,53021020200,10,10969.8380882991,5175056.81043489
501,53021020300,10,13564.5807464944,7591374.45252807
502,53021020400,10,15932.3812091379,10431000.0917383
503,53011040706,8,9954.6495012152,3872645.50586129
504,53011040805,4,24216.0297377837,26246187.1914453
505,53011041205,8,11956.0573373687,5024383.96013474
506,53011040703,6,13253.2386346091,9913643.6190862
507,53011041104,7,8889.9914298414,3914879.22003659
508,53011041317,9,11858.0270023991,6020502.60088408
509,53011040806,8,11322.8120980968,7161156.31207406
510,53021020606,4,24747.2473070139,22350547.9501459
511,53021020603,7,12045.1757304593,6334601.81666021
512,53021020605,5,20530.697903478,14944781.5861707
513,53021980100,1,16109.689497369,15054429.3832745
514,53039950100,3,508315.432958017,6941528179.25246
515,53039950200,4,256312.556045909,1910610614.98499
516,53039950300,2,209067.028911146,1319657940.0445
517,53037975402,7,22293.53074811,30663117.6040768
518,53037975100,2,375882.211074427,3960275111.10605
519,53037975500,8,34489.4448285255,35189313.5910208
520,53037975600,6,24973.6714409321,18137432.0730126
521,53037975700,5,236227.557517717,2322147228.96771
522,53037975200,5,412142.270107495,3322119898.76734
523,53037975300,2,291537.855184012,3344783462.2255
524,53037975401,6,15919.8598531468,13692784.393091
525,53067010200,5,17984.4800943624,14423784.4184316
526,53067010300,5,15702.3048927938,8546665.85663214
527,53067011100,5,23582.5283019748,19247728.4680894
528,53067012420,1,62556.3123824132,191019128.117261
529,53067011420,5,19100.25355716,13597218.9206165
530,53067012320,4,55874.7161200999,64680072.4691056
531,53067012000,3,53621.3493667685,84685094.3477841
532,53067012100,1,49967.067894705,98670148.7752834
533,53067011410,7,12223.749669928,5696900.90881688
534,53067011000,5,43775.5575160323,65542989.2902474
535,53041971000,5,27580.9328721942,21061684.5159585
536,53041970600,9,8718.50784831311,2656545.03483493
537,53041971200,2,104927.382691885,306375401.55936
538,53041971300,3,83988.0247564542,225390227.454736
539,53041971100,5,153981.772428957,750054842.585545
540,53041971800,1,396064.592882852,2389831967.85654
541,53041971900,2,265664.048930502,1198342272.57793
542,53041971700,2,247445.701716898,1466380222.94122
543,53041971400,3,64926.1908190724,116902383.747442
544,53041971600,3,126995.177443016,386119716.485466
545,53041972000,2,366475.977863103,3730954007.70191
546,53041971500,3,222803.201140534,1496139256.31645
547,53041970100,2,142371.457039145,958546990.043184
548,53041970200,4,80211.067577304,75304350.8441597
549,53041970300,8,29816.7662541057,32578625.8659261
550,53041970400,9,42014.444333856,76673034.4159668
551,53041970500,8,9985.29644514609,5387224.71145485
552,53041970700,9,35972.7213330877,27293236.939054
553,53041970800,8,54629.5260198862,80303891.8161131
554,53041970900,8,10375.7967242703,3968281.66892474
555,53015001900,3,144069.424926652,628483372.683679
556,53015002001,1,151400.160765341,480589153.295096
557,53015002002,2,119052.159106961,409432148.278676
558,53015001800,1,259839.712753218,2416536900.93853
559,53015001600,6,82367.2622896229,230987281.767978
560,53015000300,7,59838.3402034548,74952546.0704598
561,53015000400,6,9377.38593043677,4825344.90312041
562,53015000602,4,12784.4482593605,4815656.18373225
563,53015000702,6,11087.8183066877,6206236.67906397
564,53015000800,5,32753.7096511984,33570269.0746194
565,53015000900,5,24830.2849583085,29093038.9950104
566,53015001100,9,22640.4262725326,14920331.9431897
567,53015001200,6,34389.120691121,41764266.9600847
568,53015001300,7,22092.2674939785,21281877.2446459
569,53067011500,8,13205.743031512,9593236.06728417
570,53067012330,6,10781.4606074126,6827223.27289465
571,53067010910,6,18037.8553926932,13530254.0453984
572,53067010520,8,13389.5245759665,9255142.04416034
573,53067990100,1,74109.8421729286,57975715.6703629
574,53067012221,2,51998.9954770465,86454254.7289315
575,53067012212,7,20369.3202035756,21621124.9436349
576,53067011720,4,29669.4226312315,44555526.4415884
577,53067011822,3,45711.427875205,77857938.5177325
578,53067010920,8,22792.7391872002,20107690.3073203
579,53067012610,5,103146.895208827,281997451.166554
580,53067011821,4,41850.4055881342,73681544.9335816
581,53067012730,3,76048.0645304049,236709776.989454
582,53067012222,4,39593.4002834707,67592683.3000438
583,53067012211,4,30796.7308862603,42628690.2029098
584,53015001000,6,7348.5087879288,1742127.52353283
585,53015000501,8,6617.42401358796,2313180.83912708
586,53015000502,9,9155.75259238601,3060957.33084965
587,53015000601,6,6938.26090435815,2554920.10327836
588,53015001700,3,160802.584225858,820725616.495791
589,53015000704,6,17459.5872926778,13810184.1133334
590,53015001502,8,72888.7760536738,167609819.657508
591,53015001501,1,194436.90043133,873672286.978113
592,53015000703,6,16177.9364981026,10593364.2256377
593,53015002100,9,17531.828293022,8273737.0270809
594,53067011710,2,22965.1226934329,20498689.7911752
595,53067011621,6,13834.1728329811,9929090.13857217
596,53067011623,2,11126.9605515045,6526870.29736178
597,53067012720,7,57779.3219762263,168684918.785937
598,53067012620,5,82872.9207148768,333418514.08026
599,53067012412,3,33876.852868719,47240717.4001491
600,53067012520,4,122583.765761143,551654185.151093
601,53067012530,2,68852.8928228538,146607691.413424
602,53067012411,4,43382.3439299849,53484034.3032469
603,53067012510,2,118156.849738381,314478986.107801
604,53067012710,2,37936.9798869899,88775954.4239959
605,53067010510,7,10347.4808659555,5782411.44906574
606,53067011624,4,24452.7846892691,23650746.6991562
607,53067011622,3,10272.3608239793,5645214.04308026
608,53049950400,1,352393.213217653,3409120791.24638
609,53049950500,2,74184.0100022326,179052605.368364
610,53049950600,3,13940.8741512615,9212456.65803218
611,53049950700,1,51015.9597548504,109363064.407084
612,53049950800,2,92563.1240267207,316638123.757001
613,53049950200,2,190535.186359838,887003884.855714
614,53049950300,2,203148.816374341,1112289246.33241
615,53049990100,1,192797.290173173,674838649.555713
616,53067010100,5,17026.2772710239,10774069.5396943
617,53067011900,3,114080.81806298,345810684.975792
618,53067012310,5,26380.9473468295,28519886.8822569
619,53017950100,4,592652.581337508,4927124526.0788
620,53017950300,5,148727.823006666,422495519.122356
621,53017950400,4,26172.1534729209,26128430.3404434
622,53017950500,8,13696.455315108,5981627.54648286
623,53017950800,8,17911.6202683158,14265397.1705203
624,53067011200,6,18799.7372165117,14691956.8050407
625,53067010700,4,16733.1072550161,11361086.3392928
626,53067010800,7,33883.7785857227,35990988.8331981
627,53067011810,1,105887.476950593,406743377.94701
628,53067011610,5,22489.7677804389,20093180.1518618
629,53067010600,6,13555.7894375755,9763601.74366971
630,53067010400,4,14239.3279720148,9115867.05864005
631,53067011300,6,12293.2097923194,8260499.94682236
632,53017950600,3,17692.9398462354,12970529.5447865
633,53017950700,8,12474.3150126779,5754509.81623148
634,53017950200,4,465343.556847868,5164407502.16901
635,53073001201,6,12303.2855029951,5667941.10766765
636,53073010403,1,51576.978300205,141170770.834454
637,53073000501,7,13643.9200843683,5843385.08854725
638,53073000502,4,11197.0438479354,3838933.16302733
639,53031950500,1,196845.231811352,934559397.519669
640,53031950300,1,128089.271074423,640323258.242185
641,53031950400,2,81217.6603900006,283651709.136032
642,53031950202,1,206996.33959925,736323688.999287
643,53031950601,3,45494.562205011,75132171.9040002
644,53031950602,1,41320.1427397995,54964981.828349
645,53031950702,1,523412.537739535,9233338175.4076
646,53073000100,6,73723.8071046264,200641822.939739
647,53073000200,5,50513.7077442709,104979326.61944
648,53073000300,8,20318.9771524747,17793563.8005994
649,53073001100,3,55481.4629376846,166555707.927758
650,53073000400,3,18534.0571909123,11792688.9549928
651,53073000600,4,7811.62606255828,2805494.17527247
652,53073000700,8,13671.6421178236,7263649.72969556
653,53073001000,7,11396.5517660932,5700432.01465069
654,53073010401,3,72599.4383066005,196236690.251329
655,53073010100,4,512105.110573739,10006899581.3341
656,53073010501,3,96523.2077896081,364342542.178725
657,53073010600,3,49982.5024106277,116942319.431192
658,53073010900,1,119891.256596504,429527329.151207
659,53073940000,5,66966.3116743101,218454187.15508
660,53073010302,1,19881.3199773546,10156623.473091
661,53073010301,1,66359.0941088824,217575027.294723
662,53073011000,1,134494.239515733,807465720.248308
663,53073010200,3,133086.758835536,426637886.754017
664,53073010303,2,37255.4773783163,53172121.8527741
665,53073010502,5,41041.9743462131,46556808.3881462
666,53073000804,1,28122.1171426226,33069416.5209135
667,53073000806,2,87950.7006038297,253519725.206891
668,53073000805,1,44953.7744892049,63948959.6304605
669,53073000803,2,21974.7508409688,10626584.3946377
670,53073010702,2,79569.3108008085,137085675.651628
671,53073010701,2,61419.8463896293,201022194.450716
672,53073001202,5,79894.7318878241,201212066.542654
673,53073000902,2,30067.0302652207,39139758.8229497
674,53073010404,5,135379.164506161,429116177.026323
675,53073000901,5,14821.92801449,12142555.730525
676,53005010803,4,35875.1943314301,24712797.94186
677,53005011900,4,104923.073233386,348326581.462624
678,53005011402,3,15909.1462211102,15328643.1672705
679,53005011001,9,17739.5663715425,12098173.1090077
680,53005010902,8,12482.5926421788,5350994.00421488
681,53005011700,6,39747.1265049384,74822288.4659147
682,53005010901,9,18690.9487442261,16156228.8568329
683,53005011800,7,302937.005639216,1843099644.47794
684,53005011600,8,309920.38248015,3395308200.215
685,53005011300,9,22606.9346103486,14604407.9408976
686,53005010600,9,20536.3014915638,20097558.7868334
687,53005010500,9,9710.21841244816,5448699.63823215
688,53005011401,9,11226.6922677071,4789678.9565338
689,53005011501,9,71753.9278077353,145721893.412761
690,53005011200,10,11020.0574314051,5252931.3834859
691,53005012000,1,229537.756647191,2462391221.40647
692,53005010100,2,27523.3630565288,21947795.4341474
693,53005010202,5,20893.5489618778,10950909.8390905
694,53005010300,8,19561.0271909508,12867553.7965055
695,53005011100,9,18512.9995635398,10781674.6347441
696,53005010201,5,53358.8323349012,93565015.6903182
697,53005010400,8,9098.72378610619,3144209.47132478
698,53005011002,9,9921.68003376059,6184393.53151354
699,53005010708,5,22953.9731725254,18133204.3315313
