"","Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"120",2018-06-29,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"121",2018-06-30,50,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"122",2018-07-01,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"123",2018-07-02,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"124",2018-07-03,71,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"125",2018-07-04,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"126",2018-07-05,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"127",2018-07-06,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"128",2018-07-07,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"129",2018-07-08,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"130",2018-07-09,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"131",2018-07-10,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"132",2018-07-11,46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"133",2018-07-12,51,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"134",2018-07-13,74,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"135",2018-07-14,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"136",2018-07-15,46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"137",2018-07-16,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"138",2018-07-17,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"139",2018-07-18,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"140",2018-07-19,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"141",2018-07-20,61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"142",2018-07-21,47,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"143",2018-07-22,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"144",2018-07-23,39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"145",2018-07-24,46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"146",2018-07-25,37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"147",2018-07-26,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"148",2018-07-27,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"149",2018-07-28,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"150",2018-07-29,41,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"151",2018-07-30,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"152",2018-07-31,32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"153",2018-08-01,28,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"154",2018-08-02,25,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"155",2018-08-03,27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"156",2018-08-04,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"157",2018-08-05,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"158",2018-08-06,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"159",2018-08-07,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"160",2018-08-08,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"161",2018-08-09,41,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"162",2018-08-10,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"163",2018-08-11,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"164",2018-08-12,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"165",2018-08-13,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
